"itnb" "S" "rS" "E" "D" "c" "r" "TPR" "FDR" "nbSNPS" "nbADA" "s" "gamma" "envADA"
1013 1600 1600 5 "ran" 0.5 13 0.333333333333333 0.333333333333333 1000 6 "0.12_0.19_0.22_0.18_0.22_0.29" "0.45_0.13_0.1_0.32_0.2_0.3" "BIO8.BI15.BIO1.ALTI.BIO4.BIO2"
1014 1600 1600 5 "ran" 0.5 14 0.578947368421053 0.45 1000 19 "0.27_0.26_0.11_0.15_0.3_0.16_0.28_0.13_0.27_0.15_0.15_0.11_0.17_0.22_0.21_0.28_0.18_0.17_0.18" "0.23_0.11_0.35_0.15_0.17_0.12_0.24_0.2_0.35_0.39_0.27_0.43_0.22_0.33_0.37_0.13_0.22_0.36_0.24" "BIO4.BIO8.BI12.ALTI.BIO8.BIO4.BIO8.BI18.BIO4.BI12.BI15.BI12.BIO2.BI12.BIO2.BI18.BIO8.BIO1.BIO4"
1015 1600 1600 5 "ran" 0.5 15 0.3 0.727272727272727 1000 10 "0.1_0.26_0.27_0.17_0.11_0.25_0.22_0.29_0.2_0.25" "0.32_0.29_0.41_0.44_0.34_0.3_0.29_0.29_0.39_0.04" "BIO8.BI18.BIO4.ALTI.BIO1.BIO8.BI18.BI18.ALTI.BIO1"
1016 1600 1600 5 "ran" 0.5 16 0.0769230769230769 0.75 1000 13 "0.2_0.25_0.12_0.14_0.23_0.23_0.23_0.13_0.16_0.24_0.16_0.16_0.3" "0.33_0.43_0.26_0.28_0.12_0.4_0.05_0.12_0.21_0.05_0.1_0.5_0.28" "BI12.BI12.BI18.BI15.BI12.BI15.BI15.BI18.BI15.ALTI.BIO8.BIO2.BIO2"
1017 1600 1600 5 "ran" 0.5 17 0.5 0.363636363636364 1000 14 "0.3_0.18_0.3_0.17_0.23_0.26_0.17_0.27_0.27_0.3_0.22_0.26_0.16_0.28" "0.5_0.3_0.1_0.01_0.5_0.06_0.16_0_0.11_0.43_0.27_0.37_0_0.27" "BIO1.BI15.BIO4.ALTI.BI12.BIO1.BIO2.BIO8.BIO2.ALTI.BIO2.BI18.ALTI.BIO1"
1018 1600 1600 5 "ran" 0.5 18 0.6 0.333333333333333 1000 20 "0.21_0.12_0.13_0.23_0.3_0.2_0.16_0.1_0.1_0.18_0.22_0.12_0.28_0.22_0.12_0.15_0.21_0.16_0.26_0.13" "0.04_0.14_0.1_0.47_0.27_0.38_0.04_0.38_0.21_0.29_0.1_0.39_0.37_0.01_0.17_0.35_0.37_0.23_0.2_0.36" "BIO4.BI15.BIO1.BI15.BI15.BI18.BI18.BI12.BIO1.BI12.BIO2.BIO1.ALTI.BIO8.BIO1.BIO4.ALTI.BI15.BIO4.ALTI"
1019 1600 1600 5 "ran" 0.5 19 0.272727272727273 0 1000 11 "0.3_0.3_0.22_0.21_0.28_0.23_0.24_0.14_0.17_0.13_0.11" "0.5_0.11_0.42_0.06_0.08_0.04_0.11_0.26_0.03_0.23_0.07" "BIO8.BIO8.ALTI.BIO8.BIO2.ALTI.ALTI.BI15.BIO2.BI12.BI15"
1020 1600 1600 5 "ran" 0.5 20 0.555555555555556 0.285714285714286 1000 9 "0.15_0.13_0.13_0.12_0.25_0.1_0.26_0.16_0.22" "0.25_0.32_0.29_0.21_0.06_0.16_0.08_0.2_0.39" "BI15.BIO4.BI18.BI18.ALTI.BI12.BIO2.BIO8.BI15"
1021 1600 1600 5 "geo" 0.5 1 0.538461538461538 0.416666666666667 1000 13 "0.25_0.27_0.22_0.13_0.26_0.12_0.12_0.3_0.11_0.28_0.12_0.26_0.28" "0.43_0.27_0.16_0.39_0.27_0.05_0.13_0.09_0.44_0.38_0.14_0.21_0.39" "BI12.BI15.BIO8.BI18.BIO8.BI18.BI15.ALTI.BIO1.BI12.BIO8.ALTI.BI18"
1022 1600 1600 5 "geo" 0.5 2 0.578947368421053 0.476190476190476 1000 19 "0.19_0.3_0.15_0.24_0.19_0.2_0.28_0.12_0.23_0.27_0.1_0.11_0.23_0.29_0.14_0.11_0.28_0.3_0.1" "0.46_0.11_0.24_0.33_0.24_0.01_0.26_0.49_0.08_0.36_0.3_0.03_0.1_0.01_0.2_0.38_0.1_0.32_0.04" "BIO8.BI18.BI18.BIO2.BI18.BI15.BIO2.BIO8.BIO2.BIO8.BI18.BIO2.BIO2.BIO8.BIO2.BI18.BI18.BIO2.BIO8"
1023 1600 1600 5 "geo" 0.5 3 0.2 0.8 1000 5 "0.29_0.14_0.26_0.24_0.19" "0_0.35_0.09_0.31_0.03" "BIO8.BI15.BIO8.ALTI.BI18"
1024 1600 1600 5 "geo" 0.5 4 0.461538461538462 0.333333333333333 1000 13 "0.17_0.3_0.12_0.28_0.22_0.15_0.2_0.29_0.16_0.12_0.24_0.16_0.24" "0.49_0.41_0.41_0.43_0.27_0.17_0.11_0.27_0.29_0.5_0.23_0.47_0.33" "BIO8.BI15.BIO8.BI15.BI18.BI15.ALTI.BIO2.BI18.BIO1.BI15.BIO1.BI12"
1025 1600 1600 5 "geo" 0.5 5 0.818181818181818 0.181818181818182 1000 11 "0.29_0.2_0.13_0.13_0.11_0.15_0.22_0.16_0.12_0.29_0.21" "0.17_0.15_0.37_0.13_0.26_0.42_0.07_0.07_0.4_0.06_0.32" "BIO8.ALTI.BIO4.BI12.BI12.BIO4.BIO8.BIO1.BI15.BI18.BIO1"
1026 1600 1600 5 "geo" 0.5 6 0.736842105263158 0.263157894736842 1000 19 "0.24_0.14_0.18_0.3_0.22_0.15_0.28_0.1_0.14_0.3_0.13_0.16_0.11_0.17_0.28_0.3_0.27_0.21_0.18" "0.1_0.35_0.38_0.04_0.43_0.26_0_0.4_0.15_0.04_0.2_0.15_0.4_0.38_0.26_0.43_0.14_0.36_0.02" "BIO4.BIO2.BIO4.BI12.BIO1.BIO4.BIO2.BI18.BIO1.BI18.BIO2.BI15.BIO1.BIO1.BIO1.BIO4.ALTI.BIO2.BIO8"
1027 1600 1600 5 "geo" 0.5 7 0.411764705882353 0.631578947368421 1000 17 "0.14_0.17_0.18_0.24_0.19_0.11_0.22_0.21_0.22_0.13_0.24_0.16_0.28_0.23_0.16_0.22_0.27" "0.1_0.28_0.04_0.24_0.5_0.04_0.25_0.16_0.37_0.44_0.04_0.4_0.2_0.09_0.1_0.03_0.02" "BIO1.BI18.BIO4.BIO2.BI15.BI12.BIO2.BI12.BI15.BIO1.BIO2.BI15.BI12.BIO2.BIO1.BIO8.BIO8"
1028 1600 1600 5 "geo" 0.5 8 0.2 0.636363636363636 1000 20 "0.26_0.1_0.27_0.3_0.19_0.18_0.19_0.27_0.28_0.12_0.1_0.23_0.24_0.24_0.3_0.15_0.22_0.12_0.3_0.1" "0.39_0.23_0.41_0.27_0.4_0.16_0_0.15_0.42_0.07_0.18_0.37_0.5_0.14_0.44_0.16_0.07_0.5_0.06_0.32" "BI18.BI15.BI18.BI15.BIO8.BI15.BIO2.BIO8.BIO8.BIO4.BI18.ALTI.BI15.BI15.BIO4.BI15.BIO2.BIO2.BI12.BIO1"
1029 1600 1600 5 "geo" 0.5 9 0.555555555555556 0.285714285714286 1000 9 "0.28_0.16_0.23_0.29_0.26_0.17_0.24_0.25_0.14" "0.02_0.15_0.36_0.29_0.02_0.18_0.37_0.23_0.16" "BI18.ALTI.BIO2.BIO2.BI15.BI18.BI18.BIO1.BIO4"
1030 1600 1600 5 "geo" 0.5 10 1 0.4375 1000 9 "0.11_0.21_0.28_0.29_0.21_0.1_0.26_0.25_0.2" "0.15_0.08_0.28_0.15_0.31_0.36_0.07_0.23_0.44" "BIO4.BI18.BIO1.BI15.BIO2.BIO1.ALTI.BIO1.BIO1"
1031 1600 1600 5 "geo" 0.5 11 0.666666666666667 0.142857142857143 1000 9 "0.29_0.1_0.19_0.14_0.14_0.27_0.16_0.21_0.24" "0.13_0.02_0.21_0.06_0.08_0.44_0.21_0.3_0.41" "BIO1.BIO4.BI15.BIO1.BI18.BI12.ALTI.BI15.BIO8"
1032 1600 1600 5 "geo" 0.5 12 0.6 0.5 1000 5 "0.1_0.24_0.12_0.26_0.29" "0.29_0.06_0.31_0.15_0.35" "BI12.BIO1.BIO8.BI15.BIO2"
1033 1600 1600 5 "geo" 0.5 13 0.5625 0.307692307692308 1000 16 "0.17_0.14_0.16_0.29_0.29_0.23_0.26_0.16_0.13_0.24_0.2_0.19_0.2_0.15_0.21_0.29" "0.23_0.29_0.23_0.08_0.22_0.12_0.08_0.04_0.02_0.07_0.29_0.19_0.33_0.06_0.25_0.33" "BIO4.BI12.BI15.BI12.ALTI.BI15.ALTI.BIO2.BIO2.BIO1.BI12.ALTI.BIO2.ALTI.BIO1.BI12"
1034 1600 1600 5 "geo" 0.5 14 0.5 0.333333333333333 1000 16 "0.17_0.22_0.2_0.3_0.29_0.26_0.23_0.19_0.29_0.1_0.27_0.22_0.14_0.27_0.19_0.25" "0.21_0.47_0.33_0.21_0.39_0.02_0.3_0.12_0.34_0.19_0.46_0.12_0.14_0.05_0.46_0.06" "BIO2.BIO2.ALTI.BIO1.ALTI.BIO1.ALTI.BIO4.BI15.BI18.ALTI.BIO4.BI12.BIO4.ALTI.ALTI"
1035 1600 1600 5 "geo" 0.5 15 0.230769230769231 0.727272727272727 1000 13 "0.1_0.17_0.3_0.15_0.26_0.27_0.1_0.19_0.15_0.22_0.16_0.1_0.11" "0.37_0.15_0.42_0.36_0.14_0_0.29_0.46_0.07_0.17_0.2_0.48_0.42" "BI15.BIO4.BI12.BI18.BI12.BIO2.BI18.BIO2.BI12.BI12.BI12.ALTI.BIO8"
1036 1600 1600 5 "geo" 0.5 16 0.5 0.5 1000 14 "0.12_0.17_0.26_0.12_0.29_0.23_0.2_0.19_0.1_0.29_0.27_0.29_0.29_0.19" "0.15_0.11_0.14_0.48_0.38_0.35_0.42_0.17_0.05_0.06_0.42_0.37_0.14_0.19" "BI18.BIO8.BI12.BIO8.ALTI.ALTI.BI12.BI18.BI12.BIO2.BIO4.BIO4.BIO2.BI12"
1037 1600 1600 5 "geo" 0.5 17 0.55 0.476190476190476 1000 20 "0.14_0.29_0.19_0.25_0.29_0.18_0.17_0.2_0.2_0.17_0.22_0.12_0.12_0.15_0.18_0.21_0.2_0.11_0.27_0.25" "0.44_0.39_0.31_0.39_0.18_0.11_0.29_0.17_0.02_0.44_0.06_0.38_0.06_0.25_0.34_0.34_0.17_0.09_0.11_0.27" "BIO8.BIO8.BIO1.BIO1.BI18.BIO2.BIO8.BIO2.BIO1.BI18.BIO1.BIO2.BIO4.BI15.BIO4.BI18.BI15.BIO1.BIO8.BI15"
1038 1600 1600 5 "geo" 0.5 18 0.642857142857143 0.25 1000 14 "0.12_0.26_0.3_0.29_0.22_0.1_0.24_0.3_0.29_0.29_0.2_0.29_0.24_0.15" "0.27_0.34_0.08_0.1_0.3_0.41_0.4_0.15_0.24_0.15_0.25_0.08_0.38_0.13" "BI15.ALTI.BIO2.BI15.BI18.BIO8.BIO4.BIO4.BIO8.BI12.BIO8.BIO2.BI18.BIO4"
1039 1600 1600 5 "geo" 0.5 19 0.5 0 1000 6 "0.17_0.12_0.18_0.17_0.3_0.26" "0.42_0.42_0.5_0.12_0.39_0.32" "BI12.BI18.BIO2.BIO1.BIO1.BI15"
1040 1600 1600 5 "geo" 0.5 20 0.4 0.5 1000 5 "0.3_0.15_0.15_0.13_0.3" "0.2_0.25_0.31_0.4_0.36" "ALTI.BI18.ALTI.BIO4.BI12"
1041 1600 1600 10 "ran" 0.5 1 0.4375 0.416666666666667 1000 16 "0.23_0.3_0.26_0.22_0.25_0.17_0.19_0.16_0.2_0.18_0.25_0.15_0.27_0.22_0.1_0.15" "0.25_0.49_0.12_0.13_0.16_0.25_0.35_0.45_0.19_0.45_0.49_0.44_0.13_0.07_0.22_0.14" "BIO2.BIO4.BI12.BIO1.BI18.BI12.BI12.BIO1.BIO1.ALTI.BI12.ALTI.BI18.BI12.BIO4.BI15"
1042 1600 1600 10 "ran" 0.5 2 0.285714285714286 0.2 1000 14 "0.21_0.29_0.22_0.19_0.12_0.16_0.21_0.1_0.22_0.24_0.29_0.13_0.27_0.28" "0.32_0.29_0.44_0.34_0.49_0.31_0.47_0.5_0.47_0.47_0_0_0.15_0.36" "BI18.BIO8.BI12.BIO2.ALTI.ALTI.BIO2.ALTI.BI18.BIO1.BI15.BIO4.BIO8.BI15"
1043 1600 1600 10 "ran" 0.5 3 0.666666666666667 0.0769230769230769 1000 18 "0.14_0.21_0.11_0.3_0.19_0.28_0.17_0.2_0.22_0.11_0.22_0.26_0.29_0.12_0.15_0.25_0.2_0.27" "0.21_0.25_0.28_0.35_0.35_0.22_0.22_0.29_0.5_0.02_0.33_0.46_0.04_0.38_0.43_0.36_0.3_0.19" "BIO2.BI12.BIO1.BIO8.BI12.BIO4.BI18.BIO2.ALTI.BI15.BI15.BIO8.BIO1.BIO8.BIO2.BI12.BIO8.BI15"
1044 1600 1600 10 "ran" 0.5 4 0.333333333333333 0.6 1000 6 "0.18_0.13_0.24_0.17_0.23_0.26" "0.27_0.21_0.5_0.48_0.06_0.2" "ALTI.BIO2.BI18.BIO2.BI15.ALTI"
1045 1600 1600 10 "ran" 0.5 5 0.769230769230769 0.411764705882353 1000 13 "0.28_0.1_0.21_0.18_0.28_0.3_0.29_0.2_0.1_0.16_0.19_0.23_0.14" "0.46_0.16_0.41_0.07_0.4_0.16_0.3_0.32_0.33_0.08_0.47_0.33_0" "BIO8.BIO1.BIO4.BI15.BIO4.BIO1.BI15.BIO2.BIO1.BI18.BIO1.ALTI.BIO1"
1046 1600 1600 10 "ran" 0.5 6 0.571428571428571 0.2 1000 14 "0.2_0.11_0.22_0.11_0.21_0.28_0.25_0.15_0.14_0.24_0.11_0.2_0.19_0.16" "0.3_0.47_0.08_0.23_0.49_0.48_0.35_0.21_0.07_0.21_0.18_0.01_0.04_0.38" "ALTI.ALTI.BI18.BIO2.ALTI.BI12.ALTI.BI18.ALTI.BIO8.BI15.BIO4.ALTI.BI12"
1047 1600 1600 10 "ran" 0.5 7 0.75 0.4 1000 16 "0.24_0.18_0.27_0.13_0.22_0.22_0.17_0.18_0.3_0.25_0.13_0.29_0.12_0.1_0.16_0.25" "0.26_0.33_0.47_0.05_0.18_0.49_0.05_0.36_0.02_0.05_0.01_0.39_0.49_0.02_0.34_0.39" "ALTI.BI12.BIO1.BIO4.BIO1.BI15.BI12.BIO8.ALTI.ALTI.BIO2.BIO2.BI18.BIO4.BIO1.BIO2"
1048 1600 1600 10 "ran" 0.5 8 0.75 0.357142857142857 1000 12 "0.21_0.22_0.24_0.1_0.13_0.14_0.15_0.1_0.16_0.27_0.19_0.11" "0.33_0.23_0.2_0.45_0.21_0.04_0.43_0_0.28_0.16_0.09_0.22" "BIO1.BIO8.BI18.ALTI.BI12.BIO2.BIO1.BIO4.BIO8.ALTI.BI15.BIO1"
1049 1600 1600 10 "ran" 0.5 9 0.785714285714286 0.0833333333333334 1000 14 "0.28_0.25_0.2_0.19_0.27_0.19_0.23_0.16_0.26_0.13_0.11_0.25_0.21_0.21" "0.45_0.19_0.11_0.41_0.06_0.42_0.08_0.34_0.13_0.46_0.4_0.29_0.41_0.36" "BIO8.BIO8.BI12.BI18.BIO1.BIO1.BI12.BI18.BIO4.BIO4.BI15.BIO4.BIO2.BIO8"
1050 1600 1600 10 "ran" 0.5 10 1 0.416666666666667 1000 7 "0.23_0.19_0.22_0.21_0.3_0.29_0.1" "0.43_0.32_0.11_0.12_0.43_0.41_0.29" "BIO4.BIO2.BI15.BIO2.BI18.ALTI.BI18"
1051 1600 1600 10 "ran" 0.5 11 0.692307692307692 0.4 1000 13 "0.1_0.13_0.14_0.21_0.14_0.14_0.29_0.21_0.28_0.3_0.21_0.19_0.23" "0.09_0.15_0.4_0.11_0.17_0.08_0.35_0.45_0.32_0.27_0.11_0.45_0.36" "BIO1.BI18.BIO2.BI18.BI18.BIO4.BI15.BIO2.BI12.BIO4.BI18.ALTI.BI12"
1052 1600 1600 10 "ran" 0.5 12 0.5 0 1000 6 "0.2_0.21_0.27_0.27_0.21_0.29" "0.13_0.42_0.37_0.49_0.23_0.09" "BIO8.BI15.BIO1.BI12.BI12.ALTI"
1053 1600 1600 10 "ran" 0.5 13 0.944444444444444 0.15 1000 18 "0.13_0.21_0.27_0.19_0.29_0.25_0.13_0.21_0.23_0.13_0.1_0.3_0.2_0.18_0.12_0.12_0.27_0.15" "0.05_0.28_0.48_0.18_0.1_0.27_0.29_0.46_0.26_0.22_0.02_0.48_0.02_0.12_0.42_0.08_0.06_0.36" "BI15.ALTI.BI18.BIO2.BI12.ALTI.BI12.BIO4.BI18.BI12.BIO2.BI18.ALTI.BIO1.ALTI.BIO2.BI15.BIO2"
1054 1600 1600 10 "ran" 0.5 14 0.933333333333333 0.125 1000 15 "0.25_0.1_0.25_0.22_0.11_0.2_0.14_0.25_0.15_0.19_0.16_0.24_0.24_0.11_0.12" "0.48_0.06_0.36_0.4_0.07_0.3_0.22_0.25_0.39_0.36_0.13_0.06_0.38_0.06_0.07" "BIO8.BIO2.BIO2.BI15.BIO4.BI18.BIO8.ALTI.BIO8.BIO8.BI12.BI12.BIO4.BI15.BI15"
1055 1600 1600 10 "ran" 0.5 15 0.7 0.176470588235294 1000 20 "0.16_0.24_0.15_0.14_0.2_0.23_0.1_0.27_0.13_0.18_0.24_0.28_0.25_0.27_0.25_0.28_0.19_0.15_0.14_0.3" "0.22_0.12_0.48_0.46_0.07_0.46_0.4_0.42_0.41_0.33_0.09_0.37_0.5_0.45_0.01_0.22_0.43_0.04_0.23_0.36" "BIO2.BI15.BIO8.BIO1.BIO4.BI12.BIO1.BIO2.BI15.BIO4.BI12.BIO8.BIO2.BIO8.ALTI.BIO8.ALTI.BI15.BI18.BI18"
1056 1600 1600 10 "ran" 0.5 16 0.6 0.307692307692308 1000 15 "0.26_0.24_0.19_0.16_0.13_0.29_0.15_0.25_0.21_0.12_0.12_0.2_0.23_0.16_0.17" "0.21_0.27_0.42_0.16_0.28_0.49_0.12_0.25_0.4_0.17_0.03_0.14_0.47_0.32_0.42" "BIO2.BI15.BI15.BIO4.BIO1.BI18.ALTI.ALTI.BI12.BIO1.BI15.BI15.BI12.ALTI.BI12"
1057 1600 1600 10 "ran" 0.5 17 0.923076923076923 0 1000 13 "0.25_0.17_0.13_0.29_0.25_0.2_0.29_0.3_0.16_0.13_0.17_0.11_0.25" "0.06_0.14_0.11_0.07_0.38_0.35_0.13_0.3_0.06_0.24_0.02_0.26_0.03" "BI18.BI18.BIO1.BIO4.BI15.BI18.BIO4.BIO1.BIO2.BI18.BIO8.BIO8.BI12"
1058 1600 1600 10 "ran" 0.5 18 0.85 0.37037037037037 1000 20 "0.16_0.28_0.26_0.17_0.12_0.25_0.15_0.12_0.22_0.26_0.19_0.25_0.15_0.15_0.27_0.27_0.18_0.16_0.29_0.26" "0.5_0.41_0.28_0.15_0.44_0.03_0.23_0.29_0.49_0.12_0.37_0.3_0.34_0.07_0.15_0.27_0.14_0.03_0.43_0.42" "BIO8.BIO8.BIO4.BI18.BIO2.BI12.BI18.BIO2.BI12.BIO8.BI15.BI15.BIO1.BI18.BIO2.ALTI.BIO8.BI15.BI15.BI12"
1059 1600 1600 10 "ran" 0.5 19 0.6 0 1000 5 "0.16_0.19_0.14_0.18_0.26" "0.45_0.33_0.27_0.4_0.42" "BI15.BI18.BIO2.BI18.BIO1"
1060 1600 1600 10 "ran" 0.5 20 0.571428571428571 0.2 1000 14 "0.21_0.26_0.16_0.3_0.27_0.15_0.19_0.26_0.15_0.29_0.25_0.19_0.28_0.19" "0.5_0.45_0.01_0.03_0.23_0.37_0.04_0.09_0.13_0.14_0.37_0.05_0.08_0.48" "ALTI.BI15.ALTI.BIO2.BIO1.ALTI.BI12.ALTI.BI15.BIO8.BIO2.ALTI.BIO4.BIO8"
1061 1600 1600 10 "geo" 0.5 1 0.727272727272727 0 1000 11 "0.17_0.15_0.27_0.28_0.21_0.17_0.3_0.25_0.18_0.11_0.26" "0.17_0.03_0.43_0.35_0.41_0.48_0.48_0.14_0.21_0.43_0.42" "ALTI.BIO4.BIO8.BIO1.BIO1.BIO1.BI12.BIO4.BIO1.BI12.BI15"
1062 1600 1600 10 "geo" 0.5 2 1 0.166666666666667 1000 5 "0.17_0.3_0.21_0.16_0.28" "0.09_0.25_0_0.27_0.1" "BIO4.BIO8.BIO1.BIO8.BIO2"
1063 1600 1600 10 "geo" 0.5 3 0.714285714285714 0 1000 14 "0.3_0.13_0.3_0.2_0.28_0.22_0.2_0.26_0.27_0.18_0.28_0.13_0.14_0.17" "0.3_0.45_0.33_0.3_0.46_0.39_0.04_0.03_0.21_0.5_0.31_0.41_0.14_0.19" "BI12.BIO4.BIO2.BI15.BIO4.BI15.BI15.BIO4.ALTI.BIO1.BIO4.BI18.BIO2.BIO1"
1064 1600 1600 10 "geo" 0.5 4 0.571428571428571 0.272727272727273 1000 14 "0.17_0.21_0.15_0.12_0.23_0.17_0.29_0.27_0.29_0.22_0.19_0.22_0.16_0.23" "0.46_0_0.22_0.11_0.14_0.32_0.1_0.45_0.46_0.22_0.31_0.2_0.27_0.31" "BIO2.BI18.BI15.ALTI.ALTI.BIO8.BI18.BI18.BI18.BI15.BI18.ALTI.BIO8.BI15"
1065 1600 1600 10 "geo" 0.5 5 0.736842105263158 0.0666666666666667 1000 19 "0.17_0.13_0.2_0.21_0.18_0.2_0.2_0.14_0.15_0.12_0.21_0.17_0.24_0.2_0.24_0.18_0.29_0.24_0.17" "0.23_0.49_0.39_0.46_0.46_0.15_0.08_0.32_0.19_0.49_0.47_0.3_0.47_0.34_0.13_0.26_0.2_0.26_0.12" "ALTI.BI15.BIO1.BIO8.ALTI.BIO1.BIO8.BI12.BIO2.BIO8.BIO2.BIO2.BIO4.ALTI.BI12.BI15.BIO1.BIO1.ALTI"
1066 1600 1600 10 "geo" 0.5 6 1 0.125 1000 7 "0.22_0.1_0.19_0.18_0.18_0.14_0.15" "0.16_0.22_0.4_0.02_0.16_0.24_0.16" "BIO8.BIO2.BIO1.ALTI.ALTI.BI15.BIO8"
1067 1600 1600 10 "geo" 0.5 7 0.75 0.0769230769230769 1000 16 "0.11_0.21_0.22_0.2_0.22_0.11_0.14_0.25_0.16_0.14_0.19_0.13_0.26_0.12_0.3_0.22" "0.28_0.05_0.47_0.42_0.15_0_0.25_0.45_0.24_0.46_0.5_0.45_0.49_0.16_0.13_0.12" "BI15.ALTI.BIO8.BI18.ALTI.BIO1.BIO8.BIO8.BI18.BI18.BIO2.ALTI.BIO2.BIO1.ALTI.ALTI"
1068 1600 1600 10 "geo" 0.5 8 0.75 0.25 1000 12 "0.27_0.25_0.22_0.24_0.13_0.1_0.16_0.14_0.14_0.21_0.3_0.12" "0.16_0.1_0.39_0.29_0.25_0.13_0.01_0.27_0.11_0.28_0.06_0.13" "BIO1.BIO1.BIO2.BIO8.BIO4.ALTI.BI12.BI12.BI18.BI18.BI18.BIO8"
1069 1600 1600 10 "geo" 0.5 9 0.666666666666667 0.333333333333333 1000 6 "0.12_0.29_0.28_0.21_0.14_0.1" "0.3_0.1_0.42_0.5_0.4_0.07" "BI15.BIO1.BI12.BIO4.BI18.ALTI"
1070 1600 1600 10 "geo" 0.5 10 0.5 0.375 1000 10 "0.25_0.27_0.27_0.24_0.27_0.29_0.24_0.1_0.29_0.11" "0.28_0.24_0.1_0.5_0.17_0.14_0.27_0.13_0.24_0.2" "BI15.BIO1.BIO2.BI18.BI15.BI12.BI15.BI15.BI18.ALTI"
1071 1600 1600 10 "geo" 0.5 11 0.75 0.333333333333333 1000 8 "0.2_0.28_0.16_0.1_0.23_0.11_0.23_0.25" "0.4_0.49_0.05_0.48_0.47_0.41_0.11_0.04" "BIO4.BI15.BIO2.BI18.BIO1.BIO8.BIO4.BIO8"
1072 1600 1600 10 "geo" 0.5 12 0.833333333333333 0.0625 1000 18 "0.1_0.25_0.14_0.22_0.28_0.15_0.2_0.28_0.23_0.16_0.12_0.3_0.12_0.25_0.18_0.21_0.12_0.25" "0.06_0.07_0.37_0.04_0.14_0.19_0.08_0.33_0.01_0.15_0.44_0.34_0.13_0.04_0.35_0.08_0.37_0.07" "ALTI.BI15.ALTI.BI15.BIO4.BI12.BI12.BIO1.BI12.BI12.BI15.BIO2.BI15.BIO4.BI12.BIO8.BI15.BI15"
1073 1600 1600 10 "geo" 0.5 13 0.615384615384615 0.111111111111111 1000 13 "0.24_0.29_0.11_0.21_0.28_0.14_0.1_0.15_0.19_0.19_0.25_0.28_0.21" "0.5_0.17_0.49_0.42_0.49_0.39_0.45_0.15_0.27_0.24_0.01_0.5_0.03" "BIO4.BI12.BI18.BI18.ALTI.BIO8.BI15.BIO1.BI18.BI18.BIO4.BIO2.BI15"
1074 1600 1600 10 "geo" 0.5 14 0.6 0.1 1000 15 "0.14_0.3_0.29_0.11_0.22_0.12_0.16_0.12_0.27_0.25_0.18_0.22_0.21_0.21_0.22" "0.41_0.35_0.28_0.4_0.22_0.48_0.27_0.12_0.1_0.23_0.38_0.18_0_0.04_0.46" "BI12.ALTI.BI12.BI18.BIO4.BIO1.BI18.BIO4.BI12.BI18.BIO2.BI12.BI12.BI18.BI12"
1075 1600 1600 10 "geo" 0.5 15 0.428571428571429 0.25 1000 14 "0.26_0.15_0.24_0.26_0.26_0.22_0.27_0.2_0.26_0.22_0.28_0.27_0.24_0.24" "0.15_0.43_0.5_0.02_0.18_0.14_0.37_0.25_0.16_0.2_0.5_0.32_0.23_0.26" "BIO4.ALTI.BIO1.ALTI.BIO2.BI15.BI18.ALTI.BIO1.ALTI.BI18.BI15.BI12.BIO8"
1076 1600 1600 10 "geo" 0.5 16 0.714285714285714 0.166666666666667 1000 7 "0.14_0.17_0.23_0.27_0.24_0.11_0.19" "0.41_0.31_0.21_0.24_0.23_0.45_0.48" "BIO1.BIO4.BIO1.BI12.BI18.BIO8.BIO4"
1077 1600 1600 10 "geo" 0.5 17 0.736842105263158 0.3 1000 19 "0.14_0.16_0.28_0.12_0.25_0.28_0.19_0.22_0.26_0.19_0.17_0.17_0.18_0.12_0.14_0.12_0.29_0.21_0.29" "0.41_0.46_0.21_0.01_0.29_0.34_0.46_0.42_0.11_0.12_0.1_0.13_0.24_0.24_0.12_0.15_0.4_0.14_0.44" "BIO8.BI18.BIO2.BIO4.ALTI.ALTI.BI15.ALTI.BI12.BI15.BIO4.BIO4.BIO8.BIO8.ALTI.BI15.BIO1.BIO8.BIO8"
1078 1600 1600 10 "geo" 0.5 18 0.909090909090909 0.230769230769231 1000 11 "0.18_0.13_0.3_0.1_0.2_0.27_0.16_0.26_0.21_0.27_0.26" "0.17_0.1_0.27_0_0.04_0.33_0.37_0.19_0.39_0.17_0.43" "BIO8.BI12.BIO1.BIO2.BIO4.BI12.BIO4.BIO2.BIO1.BI15.BIO2"
1079 1600 1600 10 "geo" 0.5 19 0.947368421052632 0.4 1000 19 "0.16_0.24_0.23_0.19_0.24_0.16_0.19_0.24_0.1_0.2_0.22_0.17_0.13_0.3_0.19_0.18_0.14_0.16_0.15" "0.06_0.05_0.02_0.03_0.38_0.16_0.13_0.13_0.35_0.13_0.33_0.23_0.48_0.17_0.13_0.08_0.22_0.31_0.49" "BI12.BIO4.BIO2.BIO4.BIO1.BIO4.BIO8.BIO2.BI18.BI18.ALTI.BI15.BI12.BIO1.BIO8.BIO8.BI18.BIO2.BIO4"
